iter	Passed	Remaining
927	6910	536
928	6917	528
929	6925	521
930	6932	513
931	6940	506
932	6947	498
933	6955	491
934	6962	484
935	6970	476
936	6978	469
937	6985	461
938	6993	454
939	7000	446
940	7007	439
941	7014	431
942	7022	424
943	7029	417
944	7037	409
945	7044	402
946	7052	394
947	7060	387
948	7067	379
949	7075	372
950	7082	364
951	7090	357
952	7096	350
953	7103	342
954	7110	335
955	7118	327
956	7126	320
957	7134	312
958	7141	305
959	7149	297
960	7158	290
961	7165	283
962	7172	275
963	7180	268
964	7186	260
965	7194	253
966	7201	245
967	7209	238
968	7216	230
969	7224	223
970	7232	215
971	7239	208
972	7247	201
973	7254	193
974	7261	186
975	7268	178
976	7275	171
977	7282	163
978	7289	156
979	7296	148
980	7304	141
981	7311	134
982	7318	126
983	7325	119
984	7332	111
985	7338	104
986	7344	96
987	7351	89
988	7358	81
989	7364	74
990	7372	66
991	7379	59
992	7384	52
993	7391	44
994	7397	37
995	7405	29
996	7414	22
997	7422	14
998	7428	7
999	7436	0
